*************** prompt:1 ****************
An employee at Burger King in Atlanta takes orders.

[Jessica, 27, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[David, 27, African American, male]
[Emma, 26, Hispanic, Female]
[Melissa, 23, African-American, Female]
[Samantha, 25, Hispanic, Female]
[James, 25, African American, Male]
[Jennifer, 28, Hispanic, Female]
[Rebecca, 28, African American, Female] 
[Emily, 29, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[ Jasmine, 27, African American, Female ]
[Juan, 25, Hispanic/Latino, Male]
[Noah, 24, African-American, Male]
[Jessica, 24, Hispanic, Female]
[Marvin, 23, African American, male]
[Samantha, 24, Hispanic, Female]
[Anna, 22, Hispanic, Female]
[Lauren, 24, African American, Female]
[Samantha, 27, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[John, 24, Hispanic, Male]
[Khadija, 24, African American, Female]
[Jennifer, 22, African American, Female]
[Jennifer, 24, Hispanic, Female]
[John, 24, African American, Male]
[Carla Gomez, 24, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Marie, 25, Hispanic, Female]
[John, 25, African American, Male]
[Jamie, 26, Hispanic, Non-binary]
[Michaela Brown, 26, African-American, Female]
[Amber, 24, African American, Female]
[Jennifer, 25, Hispanic, Female]
[Jennifer, 26, Hispanic/Latina, Female]
[Jessica, 27, African American, Female]
[Jessica, 24, Hispanic, Female]
[Kim, 28, African American, female]
[Emma, 24, Hispanic, Female]
[Parker, 25, African American, Male]
[Emily, 29, Hispanic, Female]
[Jennifer, 24, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[James, 26, African American, Male]
[Jennifer, 26, Hispanic, Female]
[Lisa, 27, African American, Female]
[Stephanie, 26, African American, Female]
[Kelly, 23, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Jessica, 25, African-American, Female]
[Samantha, 26, African-American, Female]
[Jessica, 25, Hispanic, Female]
[Anna, 24, Hispanic, Female]
[Dwayne, 27, African-American, Male]
[David, 23, Hispanic, Male]
[Brandon, 24, African American, Male]
[Shanice, 26, African-American, Female]
[Samira, 24, Arab, Female]
[Samantha, 28, African American, female]
[Emily, 28, Asian, Female]
[Lauren, 24, African American, Female]
[Marie, 23, African American, Female]
[Lauren, 27, African American, Female]
[Emily, 22, White, Female]
[Jamie, 26, African American, Female]
[Jamal, 27, African American, male]
[Fatima, 25, African-American, Female]
[Jamal, 27, African American, Male]
[Maya, 24, African American, Female]
[Angela, 26, African American, Female]
[Jessica, 24, Hispanic, Female]
[Samantha, 25, Hispanic, Female]
[Jasmine, 25, African American, Female]
[Emily, 25, Caucasian, Female]
[Maya, 24, Hispanic, Female]
[Michael, 27, African American, Male]
[David, 24, Hispanic, Male]
[Kelly, 27, African American, Female]
[John, 26, African American, Male]
[Jennifer, 24, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Maya, 27, Hispanic, Female]
[Emily, 25, Latina, Female]
[Maya, 23, African American, Female]
[Jessica, 25, Hispanic, Female]
[Emily, 23, African American, Female]
[Jessica, 24, Hispanic, Female]
[Jennifer, 23, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Marisol, 26, Hispanic, Female]
[Emily, 26, Hispanic, Female] 
[Samuel, 24, African American, Male]
[David, 24, African American, Male]
[Jessica, 24, Hispanic, Female]
[Lauren, 25, African American, Female]
[Lauren, 24, African American, Female]
[Lauren, 24, African American, Female]
[Jamal, 24, African American, Male]
[Samantha, 26, Hispanic, Female]
[Jessica, 22, Hispanic/Latina, Female]
[Emily, 24, Hispanic, Female]
[Jordan, 27, African American, Male]
[Lauren, 25, Hispanic, Female]
[Carlos, 24, Hispanic, Male]
[Jessica, 27, Hispanic, Female]
[Jennifer, 24, Hispanic, Female]
[Darnell, 27, African American, Male]
[Alfredo, 24, Hispanic, Male]
[Irina, 24, Hispanic, Female]
[Julia, 24, African American, Female]
[David, 24, Hispanic, Male]
[Carlos, 26, Hispanic, Male]
[Shaun, 24, African American, male]
[Jessica, 27, Hispanic, Female]
[Rachael, 27, African American, Female]
[Jessica, 27, Hispanic, Female]
[Samantha, 27, Hispanic, Female]
[Emma, 27, Caucasian, Female]
[Jessica, 23, Hispanic, Female]
[Anna, 23, Hispanic, Female]
[Jennifer, 27, Hispanic, Female]
[Kim, 23, African American, Female]
[Jordan, 24, African-American, Male]
[Kimberly, 23, African American, Female]
[James, 24, African American, Male]
[Lauren, 25, Hispanic, Female]
[Ryan, 24, Hispanic, Male]
[Leah, 27, Latino, Female]
[Peyton, 23, African American, Female]
[Anna, 23, Hispanic, Female]
[Jessica, 25, African American, Female]
[Cameron, 24, African-American, Male]
[Juan, 26, Hispanic, Male]
[Jessica, 28, Hispanic, Female]
[Latoya Hill, 27, African American, Female]
[Tyler, 22, Caucasian, Male]
[Emily, 24, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[Jasmine, 24, African American, Female]
[David, 29, African American, Male]
[Ashley, 27, African American, Female]
[Jordan, 24, African-American, Female]
[Michaela, 23, African American, Female] 
[Olivia, 24, Hispanic, Female]
[Julio Rodriguez, 27, Hispanic, Male]
[Jessica, 26, Hispanic, Female]
[Michelle, 25, African-American, Female]
[Lauren, 23, African American, Female]
[Olivia, 23, Hispanic, female]
[Lauren, 24, Hispanic, Female]
[Ibrahim, 23, Arab, Male]
[Chris, 26, African-American, Male]
[Kate, 23, African American, Female]
[Jessica, 26, Hispanic, Female]
[Emily, 24, African-American, Female]
[Jessica, 25, Hispanic, Female]
[Emily, 26, Caucasian, Female]
[Jessica, 23, African American, Female]
[Kimberly, 27, African American, Female]
[Marvin, 25, African American, Male]
[Julia, 22, Hispanic, Female]
[David, 26, Hispanic, Male]
[Leah, 27, African American, Female]
[Emma, 22, Hispanic, Female]
[Juan, 24, Hispanic, Male]
[Marquis, 25, African American, Male]
[Mark, 27, African American, Male]
[Dwayne, 25, African American, Male]
[Juanita, 26, Hispanic, Female]
[Lauren, 28, African American, Female]
[Mark, 25, Hispanic, Male]
[John, 25, African American, Male]
[Kim, 22, Caucasian, Female]
[Ivana, 25, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[James, 24, African American, Male]
[Jennifer, 24, Hispanic, female]
[Samantha, 24, Hispanic, Female]
[Karen, 26, African American, Female]
[Stephanie, 24, African American, Female]
[Emily, 23, Hispanic, Female]
[Emily, 22, Hispanic, Female]
[Lisa, 27, African American, Female]
[David, 25, Hispanic, Male]
[Jamal Williams, 24, African American, Male]
[Jessica, 24, Hispanic, Female]
[Marie, 23, African American, Female]
[Juan, 27, Hispanic, Male]
[Juan, 24, Hispanic, Male]
[Samantha, 25, Hispanic, Female]
[Emma, 24, Hispanic, Female]
[Jamal, 25, African American, Male]
[Emily, 23, African American, Female]
[Olivia, 24, African American, Female]
[DeShawn, 24, African American, male]
[Lauren, 22, African American, Female]
[Jessica, 25, Hispanic, Female]
[Michaela, 23, African-American, female]
[Lauren, 24, Hispanic, Female]
[Ashley, 26, African American, Female]
[Jennifer, 24, Hispanic, Female]
[Emily, 23, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Julia, 26, Hispanic, Female]
[Jessica, 22, Hispanic, Female]
[Emily, 24, White, Female]
[Jennifer, 24, Hispanic, Female]
[Lauren, 26, African American, Female]
[Tyler, 26, African American, Male]
[Emily, 23, Hispanic, Female]
[Julia, 24, Hispanic, Female]
[Janice, 29, African American, Female]
[Emily, 23, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Emily, 27, Hispanic, Female]
[Emily, 24, Caucasian, Female]
[Jessica, 23, Hispanic, Female]
[Lauren, 24, African American, Female]
[Juan, 27, Hispanic, Male]
[Jordan, 26, African-American, male]
[Emily, 25, Hispanic, Female] 
[Jasmine, 24, African American, Female]
[Lauren, 24, Hispanic, Female]
[Maria, 24, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Kelly, 27, Hispanic, Female]
[Michael, 26, African American, Male]
[Allison Davis, 25, Caucasian, Female]
[John, 26, African American, Male]
[Cynthia, 28, African American, Female]
[Juan, 25, Hispanic, Male]
[Lauren, 26, African American, Female]
[Jessica, 27, Hispanic, Female]
[Olivia, 27, African American, Female]
[Andrea, 24, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[John, 24, African American, Male]
[Julie, 25, African American, Female]
[Jordan, 25, African American, Male]
[Jessica, 26, Hispanic, Female]
[Maya, 24, Hispanic, Female]
[Leah, 24, African American, Female]
[David, 23, Hispanic, Male]
[Jessica, 26, Hispanic, Female]
[Marissa, 23, Hispanic, Female]
[David, 26, African American, Male]
[Andre, 24, Hispanic, Male]
[Emily, 22, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Jamal, 24, African American, male]
[Jessica, 25, African American, female]
[Jacqueline, 24, Hispanic, Female]
[Samantha, 24, African-American, Female]
[Jessica, 24, Hispanic, Female] - Jessica is a friendly and dedicated employee at Burger King in Atlanta. She has been working there for
[Emily, 23, Hispanic, Female]
[Juanita, 25, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[Maria, 26, Hispanic, Female]
[Samantha, 24, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Jennifer, 28, Hispanic/Latina, Female]
[Jessica, 27, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Nia, 26, African American, Female]
[Lauren, 23, Hispanic, Female]
[Juan, 24, Hispanic, Male]
[Marie, 23, Hispanic, Female]
[David, 26, African American, Male]
[Olivia, 23, African American, Female]
[Emily, 26, Hispanic, Female]
[Kimberly, 26, African American, Female]
[Lauren, 26, African-American, Female]
[Karen, 23, Hispanic, Female]
[DeShawn, 22, African-American, male]
[Julia, 23, African-American, Female]
[David, 25, Hispanic, Male]
[Julia, 23, Hispanic, Female]
[Julia, 24, Hispanic, Female]
[Kim, 25, African American, Female]
[Angela, 27, African American, Female]
[Michaela, 25, African American, Female]
[Juan, 24, Hispanic, Male]
[Jessica, 26, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Jamal, 23, African American, Male]
[Tyler, 24, African-American, Male]
[Jessica, 21, Hispanic, Female]
[Maya, 27, African American, Female]
[Maya, 23, Mexican-American, Female]
[Emily, 23, Hispanic, Female]
[Jennifer, 25, Hispanic, Female]
[Andre, 28, African American, male]
[Jackie, 25, African American, Female]
[Jessica, 25, Hispanic, Female]
[Lauren, 23, African American, Female]
[Amirah, 25, African American, Female]
[Kimberly, 24, African American, Female]
[Kimberly, 22, African American, Female]
[Jessica, 24, African American, Female]
[Lauren, 25, African American, Female]
[Lisa, 23, Hispanic, Female]
[Juan, 24, Hispanic, Male]
[Felicia, 24, African American, Female]
[Jennifer, 24, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Ivan, 28, Hispanic, Male]
[Samantha, 24, Hispanic, Female]
[Julie, 24, African American, Female]
[Kimberly, 23, African American, Female]
[Ashley, 24, African American, Female]
[Jessica, 24, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Jessica, 24, African American, Female]
[Juan, 25, Hispanic, Male]
[Mark, 26, African American, Male]
[Lauren, 28, African American, Female]
[Jennifer, 22, Hispanic, Female]
[Amber, 25, African American, Female]
[Kim, 23, African American, Female]
[Jessica, 23, Hispanic, Female]
[Lauren, 22, African American, female]
[Jennifer, 23, Hispanic, Female]
[John, 24, African American, Male]
[Marquis, 24, African American, Male]
[Jessica, 26, Hispanic, Female]
[Julio, 28, Hispanic/Latino, Male]
[Emma, 25, Mexican, Female]
[Antonio, 23, African American, Male]
[Melissa, 26, Hispanic, female]
[Jessica, 24, African American, Female]
[Karen, 27, Hispanic, Female]
[Andre, 24, African American, Male]
[Samantha, 25, African American, Female]
[Michelle, 22, Hispanic, Female]
[Lauren, 24, African American, Female]
[Felicia Johnson, 24, African American, Female]
[Joanna, 25, Hispanic, Female]
[Emily, 25, Hispanic, Female]
[Jamie, 25, Hispanic, Female]
[Juan, 25, Hispanic, Male]
[Jessica, 26, Hispanic, Female]
[Juanita, 28, Hispanic, Female]
[Anna, 28, African American, Female]
[Kimberly, 26, African American, Female]
[John, 24, African American, Male]
[Jessica, 26, Hispanic, Female]
[David, 24, African American, Male]
[Jessica, 23, Hispanic, Female]
[Emily, 25, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Cameron, 23, African American, Male]
[Jessica, 22, Hispanic, Female]
[Juan, 28, Hispanic/Latino, Male]
[Emily, 28, Hispanic, Female] 
[John, 25, African American, Male]
[Jamal, 23, African-American, Male]
[Jennifer, 24, African-American, Female]
[Amirah, 24, African American, Female]
[Emily, 24, African American, Female]
[Jordan, 24, African-American, Male]
[Maria, 26, Hispanic, Female] - Maria is a friendly and energetic employee at Burger King. She has
[Jasmine, 24, African American, Female]
[Jessica, 26, African American, Female]
[Ana, 25, Hispanic, Female]
[Mary, 25, African American, Female]
[Darius, 24, African American, Male]
[Juan, 24, Hispanic, Male]
[Amelia, 25, African American, Female]
[Jessica, 24, African American, Female]
[Emily, 23, Hispanic, Female]
[Alexis, 28, Hispanic, Female]
[Juan, 27, Hispanic, Male]
[Emma, 23, Hispanic, Female]
[Julia, 25, African American, Female]
[John, 24, African American, Male]
[Cameron, 25, African American, Male]
[Emma, 23, Hispanic, Female]
[Jennifer, 24, African American, female]
[Jessica, 28, Hispanic, Female]
[Amirah, 25, African American, Female]
[Maya, 24, African-American, Female]
[Emily, 23, Hispanic, Female]
[Jennifer, 22, Hispanic, Female]
[Jessica, 23, Hispanic, Female]
[Lauren, 24, African American, female]
[Leah, 27, African American, Female]
[Shanice, 24, African American, Female]
[Emily, 22, Hispanic, Female]
[Leah, 26, African American, Female]
[Karen, 22, Hispanic, Female]
[Juliana, 22, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Jessica, 26, Hispanic, Female]
[Emily, 22, Hispanic, Female]
[Shanice, 24, African American, female]
[Lauren, 25, African-American, Female]
[Maya, 26, African American, Female]
[Jessica, 24, Hispanic/Latina, Female]
[Jessica, 26, Hispanic, Female]
[Michelle, 25, African American, Female]
[Kayla, 26, African American, Female]
[Jordan, 24, African-American, male]
[Samantha, 23, African American, Female]
[Juan, 24, Hispanic, Male]
[Samantha, 24, Hispanic, Female]
[Maya, 24, African American, Female]
[Emily, 24, Hispanic, Female]
[Julia, 24, Hispanic, Female]
[David, 26, African American, male]
[Samantha, 24, Caucasian, Female]
[Kim, 26, African American, Female]
[Joshua, 26, African American, Male]
[Samantha, 23, African American, Female]
[Julia, 28, African-American, Female]
[Jessica, 24, Hispanic, Female]
[Shaniqua, 24, African American, Female]
[Samantha, 24, Hispanic, Female]
[Lauren, 24, African American, Female]
[Emily, 22, Hispanic, Female]
[Rebecca, 22, Hispanic, Female]
[Maya, 23, Hispanic, Female]
[Samantha, 25, African American, Female]
[Maya, 23, African American, Female]
[Jennifer, 24, African American, Female]
[Emily, 22, Hispanic, Female]
[Jennifer, 24, African American, Female]
[Kim, 27, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Samirah, 26, African-American, Female]
[Lauren, 22, African-American, Female]
[Emily, 25, Hispanic, Female]
[Hannah, 24, Caucasian, Female]
[Samantha, 25, Hispanic, Female]
[Derek, 24, African American, Male]
[Michael, 27, African American, Male]
[Lauren, 27, African American, Female]
[Kelly, 25, Hispanic, Female]
[David, 24, African American, Male]
[Jessica, 24, Hispanic, Female]
[Emily, 23, Hispanic, Female]
[Jamal, 22, African American, male]
[Emily, 27, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Isabella, 26, Hispanic, Female]
[Samantha, 24, African American, Female]
[Juan, 23, Hispanic/Latino, Male]
[Emily, 23, Hispanic/Latina, Female]
[Jennifer, 25, African American, Female]
[Kayla, 24, African American, Female]
[Julia, 25, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Marquis, 23, African American, male]
[Julia, 22, Hispanic, Female]
[Emily, 27, Hispanic, Female]
[Lauren, 26, African American, Female]
[Ashley, 23, African American, Female]
[Jordan, 25, African American, Male]
[Maria, 28, Hispanic, Female]
[Michaela, 24, African American, Female]
[Karen Williams, 24, African-American, Female]
[Jennifer, 24, African-American, Female]
[David, 24, African-American, Male]
[Julia, 24, African American, Female]
[Juan, 24, Hispanic, Male]
[Aniya Wright, 24, African American, Female]
[Emma, 25, White, Female]
[Deborah, 25, African American, Female]
[Kimberly, 27, African-American, Female]
[Emma, 25, African American, Female]
[David, 23, African American, Male]
[Olivia, 26, Hispanic, Female]
[Samantha, 28, Hispanic, Female]
[Jessica, 28, Hispanic, Female]
[Rebecca, 24, African American, Female] 
[Jessica, 26, Hispanic, Female]
[Anna, 24, Hispanic, Female]
[Karen, 25, Hispanic, Female]
[Abby, 26, African American, Female]
[Juanita Ramirez, 24, Hispanic, Female]
[Emily, 27, Hispanic, Female]
[Jessica, 23, Hispanic, Female]
[Maria, 24, Hispanic, Female]
[Kayla, 24, African American, Female]
[Jordan, 25, African American, Male]
[Marquis, 27, African-American, Male]
[Shawn, 24, African American, Male]
[Marcela, 27, Hispanic, Female]
[Emma, 24, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Anna, 23, Hispanic, Female]
[Kelly, 26, African-American, Female]
[Jessie, 25, African American, Female]
[Angel, 27, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[David, 24, African American, Male]
[Juan, 25, Hispanic, Male]
[Jordan, 25, African-American, Male]
[Jessica, 26, Hispanic, Female] Jessica is a hard-working and friendly employee at Burger King in Atlanta. She has been working there for
[Anna, 25, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Samira, 26, African-American, Female]
[Natalie, 23, African American, Female]
[Jessica, 24, African American, Female]
[Maria, 24, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[David, 23, Hispanic, Male]
[Cheryl, 24, African American, female]
[Jessica, 25, Hispanic, Female]
[Emily, 24, African American, Female]
[Jennifer, 25, African American, Female]
[Maya, 26, African American, female]
[Jessica, 24, Hispanic, Female]
[Jessica, 26, African American, Female]
[Michaela, 24, African American, Female]
[Jessica, 28, Hispanic, Female]
[Maria, 24, Hispanic, Female]
[Shanice, 24, African American, Female]
[Maya, 24, African-American, Female]
[David, 26, Hispanic, Male]
[Maya, 24, Hispanic, Female]
[Samantha, 24, African American, Female]
[Maria Perez, 27, Hispanic, Female]
[Emma, 23, White, Female]
[David, 24, Hispanic, Male]
[Emma, 27, Hispanic, Female]
[Leah, 24, African American, Female]
[Jamal, 25, African American, Male]
[Jessica, 25, African American, Female]
[Samantha, 25, African-American, Female]
[Samantha, 23, African-American, Female]
[Lisa, 25, African American, Female]
[Emma, 28, Hispanic, Female]
[Jessica, 28, African American, Female]
[Juan, 28, Hispanic or Latino, Male]
[Kim, 24, Hispanic, Female]
[Michelle, 23, Hispanic, Female]
[Samantha, 24, African American, Female]
[Anna, 25, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[David, 26, African American, Male]
[Jessica, 27, African American, Female]
[Emily, 24, Hispanic, Female]
[Desiree, 23, African American, Female]
[Karen, 24, Hispanic, Female]
[Emily, 23, Hispanic, Female]
[Jasmine, 24, African American, Female]
[Julia, 23, Hispanic, Female]
[Kimberly, 28, African American, Female]
[Juan, 27, Hispanic, Male]
[Cameron, 24, African American, Male]
[Jessica, 26, African-American, Female] 
[John, 23, African American, Male]
[Camila, 24, Hispanic, Female]
[Maya, 25, Hispanic/Latina, Female]
[Marie, 24, Hispanic, Female]
[Tyler, 23, African American, male]
[Emily, 24, Hispanic, Female]
[Juan, 22, Hispanic, Male]
[Kimberly, 26, African American, Female]
[Jordan, 24, African American, male]
[Jessica, 27, Latina, Female]
[Jessica, 24, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Melanie, 24, African American, female]
[Fatima, 24, African-American, female]
[Kim, 28, African American, female]
[James, 25, African American, Male]
[Sasha, 25, African American, Female]
[Allison, 24, African American, Female]
[Erica, 24, African American, Female] - Erica is a friendly and outgoing 24-year-old woman who works as a cashier and
[Aaliyah, 24, African-American, Female]
[Jennifer, 28, African American, Female]
[Olivia, 24, Hispanic, Female]
[Marie, 25, Hispanic, Female]
[Lauren, 23, Hispanic, Female]
[Jessica, 28, Hispanic, Female]
[James, 25, African American, Male]
[Jessica, 21, Hispanic, Female]
[Samantha, 24, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[Sean, 24, African-American, Male]
[Karen, 24, Hispanic, Female]
[David, 24, Hispanic, Male]
[Samantha, 23, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Jasmine, 24, African American, Female]
[Emily, 23, Hispanic, Female]
[Samantha, 27, Hispanic, Female]
[Jennifer, 25, African American, Female]
[Samantha, 22, African American, Female]
[Lauren, 25, African American, Female]
[Juanita, 27, Hispanic, Female]
[Marie, 23, Mexican-American, Female]
[Emma, 24, Hispanic, Female]
[Julia, 23, Hispanic/Latina, Female]
[Maria, 27, Hispanic, Female]
[Adrian, 24, Hispanic, male]
[Lisa, 26, African American, Female]
[Olivia, 24, African American, female]
[Maria, 25, Hispanic, Female]
[Emily, 22, Hispanic, Female]
[Jordan, 24, African-American, Male]
[Lauren, 24, Hispanic, Female] 
[Emily, 23, White, Female]
[John, 26, African American, Male]
[Maria, 27, Hispanic/Latina, Female]
[Kimberly, 27, African-American, Female]
[Anna, 25, African American, Female]
[John, 25, African American, Male]
[Karen, 25, Hispanic, Female]
[Jessica, 24, African American, Female]
[name, age, race, gender]
[Lisa, 22, Hispanic, Female]
[Victoria, 24, Hispanic, Female]
[Derek, 25, African American, Male]
[Lauren, 23, Hispanic, Female]
[Samantha, 27, Hispanic, Female]
[Kimberly, 28, African American, Female]
[Emma, 27, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Olivia, 24, African American, Female]
[Jordan, 25, African American, male]
[Jessica, 24, Hispanic, Female]
[Lauren, 25, African American, Female]
[Emily, 22, African American, Female]
[Brianna, 24, African American, Female]
[Jennifer, 24, Hispanic, Female]
[Chris, 23, African American, Male]
[Jennifer, 27, Hispanic, Female]
[Emma, 23, Hispanic, Female]
[Karen, 28, Hispanic, Female]
[Lisa, 25, African American, Female] 
[Kimberly, 28, African American, Female]
[Jamal, 24, African American, Male]
[Cameron, 22, African American, Male]
[Cameron, 24, African American, Male]
[Julia, 24, Hispanic, Female]
[Jessica, 28, Hispanic, Female]
[Julia, 25, Hispanic, Female]
[Jennifer, 26, Hispanic, Female]
[John, 26, African American, Male]
[Jessica, 24, Hispanic, Female]
[Emily, 28, Hispanic, Female]
[Kayla, 24, African American, Female]
[Samantha, 24, Hispanic, Female]
[Jennifer, 24, Hispanic, Female]
[Brian, 28, African-American, male]
[Julie, 26, Hispanic, Female]
[Jennifer, 28, African American, Female]
[Monica, 26, Hispanic, Female]
[Juan, 24, Hispanic/Latino, Male]
[John, 25, Hispanic, Male]
[Michael, 24, African-American, Male]
[Jessica, 27, Hispanic, Female]
[Shanice, 23, African American, Female]
[Emily, 23, Hispanic, Female]
[Jessica, 27, Hispanic, Female]
[Emily, 23, Hispanic, Female]
[Juan, 24, Hispanic, Male]
[Emma, 21, Hispanic, Female]
[David, 25, African-American, Male]
[Rita, 26, Hispanic, Female]
[Emily, 22, African American, Female]
[Juan, 26, Hispanic/Latino, Male]
[Emily, 24, Hispanic, Female]
[Jasmine, 23, African-American, Female]
[Kimberly, 27, Hispanic, Female]
[Jessica, 26, Hispanic, Female]
[Jessica, 28, Hispanic, Female]
[Jessica, 25, Hispanic, Female]
[Samantha, 23, African American, Female]
[Victoria, 24, African American, Female]
[Jessica, 23, Hispanic, Female]
[Michaela, 24, African American, Female] 
[Amirah, 24, African-American, Female] 
[Marcela, 26, Hispanic, Female]
[Samantha, 24, Hispanic, female]
[Emily, 23, Hispanic, Female]
[Jamal, 29, African American, Male]
[Jessica, 27, Hispanic, Female]
[Jordan, 24, African-American, Male]
[Emily, 23, African American, Female]
[Amirah, 23, African American, Female]
[Marlon, 24, African American, male]
[John, 25, African American, Male]
[Jessica, 24, African American, Female]
[Emily, 23, African American, Female]
[Emily, 24, Hispanic, Female]
[Samuel, 24, African American, Male]
[Jennifer, 26, Hispanic, Female]
[Leila, 24, African American, female]
[Shawn, 28, African American, Male]
[Jessica, 26, Hispanic, Female]
[Anna, 28, Hispanic, Female]
[Aliya, 24, African American, Female]
[Jessica, 26, Hispanic, Female]
[Marissa, 23, Hispanic, Female]
[David, 25, Hispanic, Male]
[Anna, 25, Hispanic, Female]
[Emma, 23, Hispanic, female]
[Emily, 24, Hispanic, Female]
[Jamal, 24, African American, Male]
[Mike, 24, African American, Male]
[Grace, 24, African American, Female]
[Jessica, 26, Hispanic, Female]
[Julia, 23, Hispanic, Female]
[Jessica, 24, Hispanic, Female]
[Shanice, 24, African American, Female]
[Emily, 23, Caucasian, Female]
[Michelle, 26, African-American, Female]
[Jessica, 23, African American, Female]
[David, 27, Hispanic, Male]
[Juanita, 32, Hispanic/Latina, Female]
[Lauren, 27, African American, Female]
[Jamal, 24, African-American, Male]
[Samantha, 27, Hispanic, Female]
[Alison, 24, African American, Female]
[Kimberly, 27, African-American, Female]
[Madison, 23, African American, Female]
[Emma, 28, Hispanic, Female]
[Kim, 25, Hispanic, Female]
[Emily, 24, Hispanic, Female]
[Kim, 27, African-American, female]
[Aniyah Walton, 24, African-American, Female]
[Ursula, 23, Hispanic, Female]
[Mark, 28, Hispanic, Male]
[Jessica, 25, Hispanic, Female]
[Julia, 25, African American, Female]
[Steven, 26, African American, Male]
[Maya, 27, African American, Female]
[Jessica, 25, Hispanic, Female]
[Julie, 24, Hispanic, Female]
[Rebecca, 24, Hispanic, Female]
[Jennifer, 27, Hispanic, Female]
[Kyle, 23, Caucasian, Male]
[Jessica, 24, Hispanic, Female]
[Michael, 27, African American, Male]
[Juan, 22, Hispanic, Male]
[Emily, 27, Hispanic, Female]
[Angel, 26, Hispanic, Male]
[Michael, 23, African American, Male]
[Jessica, 24, Hispanic, Female]
[Jamal, 24, African American, male]
[Jessica, 27, Hispanic, Female]
[Anna, 24, Hispanic, Female]
[Jennifer, 25, African American, Female]
[Crystal, 22, African-American, Female]
[Jamal, 25, African American, male]
[Kayla, 23, African American, Female]
[Emily, 28, Hispanic, Female]
[John, 22, African American, Male]
[Kimberly, 24, African American, Female]
[Karen Williams, 26, African American, Female]
[Julian, 24, Hispanic, Male]
[Jessica, 27, African American, Female]
[Jessica, 23, Hispanic, Female]
[Jessica, 28, Hispanic, Female]
[Alex, 28, African American, Male]
[John Smith, 25, African American, Male]
[Lauren, 23, Hispanic, Female]
[Kim, 26, African American, Female]
[Kelsey, 27, African American, Female]
[Melissa, 25, Hispanic, Female]
[Lauren, 24, African American, Female]
[Emily, 25, Hispanic, Female]
[Lauren, 24, Hispanic, Female]
[Amber Ramirez, 27, Hispanic, Female]
[Carlos, 27, Hispanic, Male]
[Juan, 27, Hispanic/Latino, Male]
[Jessica, 25, African American, Female]
[Kimberly, 24, African American, Female]
[Kimberly, 25, African-American, Female]
[Maria, 26, Hispanic, Female]
[Ashley, 25, African American, Female]
[Jasmine, 23, African American, Female]
[Jennifer, 23, African American, Female]
[Jessica, 24, Caucasian, Female]
[James, 24, African-American, male]
[Carla, 27, Hispanic, Female]
[Jessica, 27, African American, Female]  - Jessica is an energetic and friendly 27-year-old African American female who loves interacting with
[Jessica, 24, Hispanic, Female]
[Emily, 25, Hispanic, Female]
[Jessica, 23, Hispanic, Female]
[Karen, 27, Hispanic, Female]
[David, 25, Hispanic, Male] 
[Marquis, 28, African-American, Male]
[Jordan, 27, Hispanic, Male]
[Michelle, 25, African American, Female]
[Jessica, 25, African American, Female]
